Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,61771859,0,0.07,8589.476
insert,0,51438036,51438036,0.067,1776.782
insert,0,51368849,51368849,0.062,1774.595
insert,0,51404888,51404888,0.088,1776.635
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,61771859,0,0.07,8589.476
insert,0,51438036,51438036,0.067,1776.782
insert,0,51368849,51368849,0.062,1774.595
insert,0,51404888,51404888,0.088,1776.635
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,61771859,0,0.07,8589.476
insert,0,51438036,51438036,0.067,1776.782
insert,0,51368849,51368849,0.062,1774.595
insert,0,51404888,51404888,0.088,1776.635
