Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,4102567,0,7.118,8851.782
find,0,1788168,0,0.223,8605.23
find,1,23707409,0,0.189,5608.333
find,1,19725437,0,0.323,6339.901
insert,0,25544681,25544681,4.944,888.267
insert,0,25599119,25599119,0.306,886.418
insert,1,22390085,22390085,1.774,774.899
insert,1,20070016,20070016,1.968,694.692
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,4102567,0,7.118,8851.782
find,0,1788168,0,0.223,8605.23
find,1,23707409,0,0.189,5608.333
find,1,19725437,0,0.323,6339.901
insert,0,25544681,25544681,4.944,888.267
insert,0,25599119,25599119,0.306,886.418
insert,1,22390085,22390085,1.774,774.899
insert,1,20070016,20070016,1.968,694.692
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,4102567,0,7.118,8851.782
find,0,1788168,0,0.223,8605.23
find,1,23707409,0,0.189,5608.333
find,1,19725437,0,0.323,6339.901
insert,0,25544681,25544681,4.944,888.267
insert,0,25599119,25599119,0.306,886.418
insert,1,22390085,22390085,1.774,774.899
insert,1,20070016,20070016,1.968,694.692
