Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,6170136,0,1.962,3635.365
find,1,13148801,0,0.395,4224.25
find,2,13118152,0,2.63,4225.688
insert,0,14290601,14290601,0.05,500.249
insert,0,14226796,14226796,0.065,493.776
insert,0,14365742,14365742,0.056,496.222
insert,1,11930260,11930260,0.03,413.191
insert,1,14377110,14377110,0.054,498.406
insert,1,14335148,14335148,0.053,499.109
insert,2,14286911,14286911,0.052,490.641
insert,2,15030841,15030841,0.024,520.284
insert,2,14386662,14386662,0.027,498.924
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,6170136,0,1.962,3635.365
find,1,13148801,0,0.395,4224.25
find,2,13118152,0,2.63,4225.688
insert,0,14290601,14290601,0.05,500.249
insert,0,14226796,14226796,0.065,493.776
insert,0,14365742,14365742,0.056,496.222
insert,1,11930260,11930260,0.03,413.191
insert,1,14377110,14377110,0.054,498.406
insert,1,14335148,14335148,0.053,499.109
insert,2,14286911,14286911,0.052,490.641
insert,2,15030841,15030841,0.024,520.284
insert,2,14386662,14386662,0.027,498.924
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,6170136,0,1.962,3635.365
find,1,13148801,0,0.395,4224.25
find,2,13118152,0,2.63,4225.688
insert,0,14290601,14290601,0.05,500.249
insert,0,14226796,14226796,0.065,493.776
insert,0,14365742,14365742,0.056,496.222
insert,1,11930260,11930260,0.03,413.191
insert,1,14377110,14377110,0.054,498.406
insert,1,14335148,14335148,0.053,499.109
insert,2,14286911,14286911,0.052,490.641
insert,2,15030841,15030841,0.024,520.284
insert,2,14386662,14386662,0.027,498.924
