Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,8761371,0,0.227,3363.226
find,0,8741416,0,0.58,3362.787
find,0,6335348,0,1.508,2839.056
find,1,8668549,0,0.373,3377.903
find,1,8743426,0,0.443,3358.391
find,1,8762443,0,0.385,3361.083
find,2,8087995,0,0.569,3513.317
find,2,4312729,0,4.745,4358.84
find,2,8090831,0,5.18,3490.487
find,3,8714210,0,0.359,3360.634
find,3,8748135,0,0.397,3358.16
insert,0,12726417,12726417,0.055,439.56
insert,1,12772860,12772860,0.05,442.804
insert,2,11832858,11832858,0.041,408.028
insert,3,12783998,12783998,0.055,442.16
insert,3,12740044,12740044,0.054,440.896
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,8761371,0,0.227,3363.226
find,0,8741416,0,0.58,3362.787
find,0,6335348,0,1.508,2839.056
find,1,8668549,0,0.373,3377.903
find,1,8743426,0,0.443,3358.391
find,1,8762443,0,0.385,3361.083
find,2,8087995,0,0.569,3513.317
find,2,4312729,0,4.745,4358.84
find,2,8090831,0,5.18,3490.487
find,3,8714210,0,0.359,3360.634
find,3,8748135,0,0.397,3358.16
insert,0,12726417,12726417,0.055,439.56
insert,1,12772860,12772860,0.05,442.804
insert,2,11832858,11832858,0.041,408.028
insert,3,12783998,12783998,0.055,442.16
insert,3,12740044,12740044,0.054,440.896
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,8761371,0,0.227,3363.226
find,0,8741416,0,0.58,3362.787
find,0,6335348,0,1.508,2839.056
find,1,8668549,0,0.373,3377.903
find,1,8743426,0,0.443,3358.391
find,1,8762443,0,0.385,3361.083
find,2,8087995,0,0.569,3513.317
find,2,4312729,0,4.745,4358.84
find,2,8090831,0,5.18,3490.487
find,3,8714210,0,0.359,3360.634
find,3,8748135,0,0.397,3358.16
insert,0,12726417,12726417,0.055,439.56
insert,1,12772860,12772860,0.05,442.804
insert,2,11832858,11832858,0.041,408.028
insert,3,12783998,12783998,0.055,442.16
insert,3,12740044,12740044,0.054,440.896
