Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,53982,0,0.138,2167.525
find,1,37711,0,0.123,1659.5
find,2,33739,0,0.121,990.216
find,3,54142,0,0.233,2207.911
find,4,39627,0,0.12,1233.337
find,5,54681,0,0.096,1367.466
find,6,28882,0,0.126,1004.074
find,7,44872,0,0.236,1588.134
insert,0,1215,1215,0.001,0.067
insert,1,931,931,0.0,0.052
insert,2,1376,1376,0.001,0.086
insert,3,802,802,0.001,0.067
insert,4,1089,1089,0.0,0.065
insert,5,1070,1070,0.003,0.06
insert,6,1383,1383,0.001,0.087
insert,7,934,934,0.001,0.06
