Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time,Find Total Time,Find Worst Case Time
insert_find,0,3040,1520,1.003,697.188,696.915,1.003
insert_find,1,3030,1515,0.965,691.273,691.007,0.965
insert_find,2,3060,1530,0.96,698.22,697.909,0.96
insert_find,3,3068,1534,0.982,708.684,708.421,0.982
insert_find,4,3002,1501,0.984,696.547,696.296,0.984
insert_find,5,2984,1492,0.974,684.043,683.712,0.974
insert_find,6,3016,1508,0.984,692.43,692.158,0.984
insert_find,7,3012,1506,0.968,701.721,701.455,0.968
insert_find,8,3086,1543,0.976,709.464,709.087,0.976
insert_find,9,3050,1525,0.963,708.42,708.143,0.963
insert_find,10,3034,1517,0.952,700.681,700.392,0.952
insert_find,11,3008,1504,0.991,697.876,697.554,0.991
insert_find,12,3012,1506,0.972,687.2,686.884,0.972
insert_find,13,3038,1519,0.954,701.565,701.3,0.954
insert_find,14,3008,1504,0.986,682.545,682.275,0.986
insert_find,15,2992,1496,0.962,692.281,691.96,0.962
