Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time,Find Total Time,Find Worst Case Time
insert_find,0,3538,1769,2.733,2242.647,2242.404,2.733
insert_find,1,3780,1890,2.767,2426.135,2425.867,2.767
insert_find,2,3596,1798,2.754,2240.243,2239.989,2.754
insert_find,3,3602,1801,2.775,2303.095,2302.882,2.775
insert_find,4,3374,1687,2.752,2195.059,2194.826,2.752
insert_find,5,3900,1950,5.903,2375.899,2375.665,5.903
insert_find,6,3786,1893,2.739,2456.824,2456.594,2.739
insert_find,7,3612,1806,2.718,2191.162,2190.936,2.718
insert_find,8,3822,1911,2.718,2433.405,2433.168,2.718
insert_find,9,3674,1837,2.738,2330.072,2329.854,2.738
insert_find,10,3624,1812,2.76,2404.331,2404.021,2.76
insert_find,11,3690,1845,2.754,2380.473,2380.269,2.754
insert_find,12,3738,1869,2.757,2401.163,2400.917,2.757
insert_find,13,3146,1573,2.457,1777.962,1777.759,2.457
insert_find,14,3780,1890,2.76,2433.106,2432.888,2.76
insert_find,15,3750,1875,2.738,2323.638,2323.385,2.738
malicious,0,218533,218533,0.033,14.159,0.0,0.0
