Type of thread,Thread Id,Number of Operations,Number of Entries,Worst Case Time,Total Time
genuine,0,2868,948,2.634,2294.141
genuine,1,2889,953,2.638,2349.154
genuine,2,2757,914,2.641,2344.698
genuine,3,2865,950,11.834,2353.531
genuine,4,2742,907,2.661,2323.853
genuine,5,2802,931,2.641,2360.79
genuine,6,2856,945,2.64,2364.085
genuine,7,2778,919,2.64,2329.336
genuine,8,2838,941,2.648,2414.523
genuine,9,2838,939,2.632,2326.797
genuine,10,2751,910,2.638,2342.391
genuine,11,2790,921,2.636,2291.035
genuine,12,2781,920,2.666,2235.022
genuine,13,2862,950,2.643,2466.971
genuine,14,2790,926,2.64,2339.892
genuine,15,2805,923,2.64,2346.829
malicious,0,188965,188965,0.002,7.029
