Type of thread,Thread Id,Number of Operations,Number of Entries,Worst Case Time,Total Time
genuine,0,1107,358,2.773,779.548
genuine,1,1050,342,2.783,764.167
genuine,2,1155,375,2.736,798.981
genuine,3,1002,331,2.761,697.286
genuine,4,1131,373,2.803,789.522
genuine,5,1059,345,2.754,753.603
genuine,6,1158,379,2.773,799.369
genuine,7,1065,348,2.821,759.946
genuine,8,1038,339,2.763,719.511
genuine,9,1038,340,2.775,738.484
genuine,10,1068,348,2.782,744.323
genuine,11,1110,363,2.78,798.976
genuine,12,1044,340,2.758,709.199
genuine,13,1104,357,2.774,819.363
genuine,14,1101,361,2.749,800.022
genuine,15,1017,328,2.779,707.549
genuine,16,1038,340,2.803,746.112
genuine,17,1041,341,2.798,709.795
genuine,18,1005,329,2.771,687.699
genuine,19,1056,343,2.765,712.948
genuine,20,1035,335,2.743,701.541
genuine,21,1035,340,2.76,741.091
genuine,22,1038,339,2.766,725.602
genuine,23,1053,345,2.751,763.063
genuine,24,1080,355,2.766,743.508
genuine,25,1011,333,2.773,721.216
genuine,26,1071,347,2.751,759.883
genuine,27,1131,372,2.769,824.902
genuine,28,1029,337,2.793,762.759
genuine,29,993,322,2.777,743.335
genuine,30,1023,335,2.792,698.887
genuine,31,1044,341,2.714,773.823
genuine,32,1065,347,2.786,743.324
genuine,33,969,317,2.777,666.863
genuine,34,1032,338,2.722,723.941
genuine,35,1008,329,2.761,706.968
genuine,36,1029,337,2.777,733.75
genuine,37,1029,338,2.782,752.732
genuine,38,1098,357,2.799,781.248
genuine,39,1071,348,2.77,745.258
genuine,40,1005,330,2.794,764.593
genuine,41,960,315,2.764,681.652
genuine,42,1011,329,2.775,700.098
genuine,43,1101,357,2.773,777.575
genuine,44,1014,332,2.783,726.083
genuine,45,1023,336,2.781,760.376
genuine,46,1035,337,2.783,766.835
genuine,47,927,299,2.767,655.021
genuine,48,1119,364,2.761,791.75
genuine,49,1047,340,2.758,771.515
genuine,50,1011,333,2.77,727.971
genuine,51,1074,349,2.753,764.868
genuine,52,1029,331,2.769,715.253
genuine,53,1098,357,2.776,789.61
genuine,54,1107,356,2.781,800.28
genuine,55,1062,342,2.789,745.97
genuine,56,1113,354,2.733,810.135
genuine,57,945,306,2.77,684.812
genuine,58,1011,329,2.748,761.017
genuine,59,1023,326,2.78,718.082
genuine,60,1029,325,2.762,758.825
genuine,61,1026,320,2.776,781.971
genuine,62,1164,359,2.773,844.501
genuine,63,1002,308,2.749,714.593
malicious,0,74933,74933,0.001,2.788
