Type of thread,Thread Id,Number of Operations,Number of Entries,Worst Case Time,Total Time
genuine,0,1428,452,5.382,179.488
genuine,1,1404,463,7.74,204.697
genuine,2,1428,474,14.729,197.977
genuine,3,1440,474,8.003,189.742
genuine,4,1392,460,9.232,187.101
genuine,5,1392,460,9.543,178.112
genuine,6,1356,446,5.629,189.029
genuine,7,1452,480,5.03,173.863
genuine,8,1440,464,8.156,196.054
genuine,9,1488,478,7.445,181.083
genuine,10,1440,471,8.386,209.04
genuine,11,1452,479,4.919,172.492
genuine,12,1380,458,16.574,211.854
genuine,13,1428,469,6.356,192.17
genuine,14,1332,440,9.439,157.13
genuine,15,1392,453,6.571,161.837
genuine,16,1440,473,11.95,193.451
genuine,17,1392,458,13.704,219.952
genuine,18,1440,474,6.659,172.454
genuine,19,1452,479,14.129,197.757
genuine,20,1452,481,10.056,175.247
genuine,21,1404,462,8.063,187.525
genuine,22,1248,407,12.441,184.544
genuine,23,1440,472,10.956,202.279
genuine,24,1392,460,11.45,210.24
genuine,25,1308,432,6.244,185.622
genuine,26,1380,456,5.999,174.535
genuine,27,1440,469,7.36,212.549
genuine,28,1392,456,10.759,186.809
genuine,29,1404,462,8.686,189.155
genuine,30,1440,469,10.527,183.781
genuine,31,1404,452,14.513,188.338
genuine,32,1416,470,11.076,216.633
genuine,33,1428,469,9.687,215.134
genuine,34,1392,453,6.443,190.127
genuine,35,1392,456,6.654,187.167
genuine,36,1428,470,7.158,178.533
genuine,37,1476,489,6.756,188.06
genuine,38,1320,434,9.836,181.03
genuine,39,1440,475,12.678,214.322
genuine,40,1404,463,14.588,202.901
genuine,41,1428,466,6.652,202.02
genuine,42,1356,444,7.849,191.099
genuine,43,1416,465,8.072,184.98
genuine,44,1344,441,13.772,177.23
genuine,45,1404,460,6.099,175.356
genuine,46,1416,465,11.956,204.555
genuine,47,1392,455,7.931,234.666
genuine,48,1344,440,10.176,185.223
genuine,49,1428,466,5.377,192.836
genuine,50,1416,461,8.79,212.898
genuine,51,1392,442,9.983,166.54
genuine,52,1368,443,7.897,200.958
genuine,53,1380,450,5.95,175.436
genuine,54,1344,442,9.861,175.929
genuine,55,1440,474,7.192,175.107
genuine,56,1332,439,9.091,196.093
genuine,57,1308,423,6.427,167.596
genuine,58,1428,461,8.872,212.415
genuine,59,1356,436,4.625,170.432
genuine,60,1332,428,8.799,178.162
genuine,61,1356,436,10.172,187.98
genuine,62,1380,444,10.113,198.223
genuine,63,1380,430,7.2,181.596
malicious,0,10792,10792,17.565,298.737
