Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,21887780,0,0.026,3160.63
find,0,23912688,0,0.016,2778.719
find,0,22721427,0,0.161,3288.72
find,0,19637539,0,0.119,2851.296
find,0,28914750,0,0.091,3279.741
find,0,45124553,0,0.167,6656.173
insert,0,4938766,4938766,0.051,561.955
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,21887780,0,0.026,3160.63
find,0,23912688,0,0.016,2778.719
find,0,22721427,0,0.161,3288.72
find,0,19637539,0,0.119,2851.296
find,0,28914750,0,0.091,3279.741
find,0,45124553,0,0.167,6656.173
insert,0,4938766,4938766,0.051,561.955
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,21887780,0,0.026,3160.63
find,0,23912688,0,0.016,2778.719
find,0,22721427,0,0.161,3288.72
find,0,19637539,0,0.119,2851.296
find,0,28914750,0,0.091,3279.741
find,0,45124553,0,0.167,6656.173
insert,0,4938766,4938766,0.051,561.955
