Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,7115877,0,37.248,3610.673
find,0,73939762,0,37.25,24984.014
find,1,69647446,0,0.372,15740.3
insert,0,8323613,8323613,0.016,596.757
insert,0,5281897,5281897,0.017,390.32
insert,1,7270940,7270940,0.019,522.107
insert,1,2976413,2976413,21.287,543.869
insert,1,3015798,3015798,21.287,396.817
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,7115877,0,37.248,3610.673
find,0,73939762,0,37.25,24984.014
find,1,69647446,0,0.372,15740.3
insert,0,8323613,8323613,0.016,596.757
insert,0,5281897,5281897,0.017,390.32
insert,1,7270940,7270940,0.019,522.107
insert,1,2976413,2976413,21.287,543.869
insert,1,3015798,3015798,21.287,396.817
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,7115877,0,37.248,3610.673
find,0,73939762,0,37.25,24984.014
find,1,69647446,0,0.372,15740.3
insert,0,8323613,8323613,0.016,596.757
insert,0,5281897,5281897,0.017,390.32
insert,1,7270940,7270940,0.019,522.107
insert,1,2976413,2976413,21.287,543.869
insert,1,3015798,3015798,21.287,396.817
