Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,520796,0,26.61,242.765
find,1,396840,0,0.021,243.681
find,2,11844870,0,0.093,20411.971
find,2,12679126,0,0.041,22151.441
find,2,15646632,0,0.25,27171.371
insert,0,15372,15372,0.012,3.092
insert,0,115448,115448,0.017,19.48
insert,0,17107,17107,0.002,3.513
insert,1,15355,15355,0.012,3.249
insert,1,15707,15707,0.002,3.164
insert,1,7787,7787,0.001,1.613
insert,2,15522,15522,0.01,3.126
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,520796,0,26.61,242.765
find,1,396840,0,0.021,243.681
find,2,11844870,0,0.093,20411.971
find,2,12679126,0,0.041,22151.441
find,2,15646632,0,0.25,27171.371
insert,0,15372,15372,0.012,3.092
insert,0,115448,115448,0.017,19.48
insert,0,17107,17107,0.002,3.513
insert,1,15355,15355,0.012,3.249
insert,1,15707,15707,0.002,3.164
insert,1,7787,7787,0.001,1.613
insert,2,15522,15522,0.01,3.126
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,520796,0,26.61,242.765
find,1,396840,0,0.021,243.681
find,2,11844870,0,0.093,20411.971
find,2,12679126,0,0.041,22151.441
find,2,15646632,0,0.25,27171.371
insert,0,15372,15372,0.012,3.092
insert,0,115448,115448,0.017,19.48
insert,0,17107,17107,0.002,3.513
insert,1,15355,15355,0.012,3.249
insert,1,15707,15707,0.002,3.164
insert,1,7787,7787,0.001,1.613
insert,2,15522,15522,0.01,3.126
