Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,148543,0,21.29,122.67
find,0,387160,0,21.293,386.988
find,1,14144,0,0.012,21.322
find,1,9544,0,0.014,12.874
find,2,2987064,0,0.022,1458.953
find,2,1904746,0,0.057,925.696
find,3,17167898,0,0.217,38641.559
find,3,1355050,0,0.163,3087.352
find,3,11885943,0,0.2,26702.357
insert,0,9732,9732,0.011,1.786
insert,0,14811,14811,0.003,3.137
insert,1,7055,7055,0.002,1.492
insert,1,5955,5955,0.003,1.214
insert,2,15052,15052,0.003,3.368
insert,2,12528,12528,0.002,2.583
insert,3,5946,5946,0.002,1.119
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,148543,0,21.29,122.67
find,0,387160,0,21.293,386.988
find,1,14144,0,0.012,21.322
find,1,9544,0,0.014,12.874
find,2,2987064,0,0.022,1458.953
find,2,1904746,0,0.057,925.696
find,3,17167898,0,0.217,38641.559
find,3,1355050,0,0.163,3087.352
find,3,11885943,0,0.2,26702.357
insert,0,9732,9732,0.011,1.786
insert,0,14811,14811,0.003,3.137
insert,1,7055,7055,0.002,1.492
insert,1,5955,5955,0.003,1.214
insert,2,15052,15052,0.003,3.368
insert,2,12528,12528,0.002,2.583
insert,3,5946,5946,0.002,1.119
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,148543,0,21.29,122.67
find,0,387160,0,21.293,386.988
find,1,14144,0,0.012,21.322
find,1,9544,0,0.014,12.874
find,2,2987064,0,0.022,1458.953
find,2,1904746,0,0.057,925.696
find,3,17167898,0,0.217,38641.559
find,3,1355050,0,0.163,3087.352
find,3,11885943,0,0.2,26702.357
insert,0,9732,9732,0.011,1.786
insert,0,14811,14811,0.003,3.137
insert,1,7055,7055,0.002,1.492
insert,1,5955,5955,0.003,1.214
insert,2,15052,15052,0.003,3.368
insert,2,12528,12528,0.002,2.583
insert,3,5946,5946,0.002,1.119
