Type of thread,Thread Id,Total Time,Worst Case Bucket,Worst Case Time,Number of Operations
futex,0,285.204,0.016,0,708106
futex,1,276.053,0.035,0,695102
futex,2,279.683,0.023,0,673740
futex,3,279.667,0.018,0,664686
futex,4,277.629,0.018,0,646562
futex,5,285.786,0.041,0,629630
futex,6,346.159,0.012,0,621464
futex,7,268.279,0.017,0,592730
futex,8,321.667,0.015,0,586750
futex,9,261.831,0.018,0,567172
futex,10,258.985,0.019,0,549288
futex,11,251.948,0.016,0,532480
futex,12,260.139,0.015,0,516614
futex,13,246.397,0.018,0,500612
futex,14,244.692,0.018,0,486720
futex,15,239.934,0.687,0,473168
insert,0,2194.677,0.0,0,127368220
