Type of thread,Thread Id,Worst Case Bucket,Worst Case Time,Total Time,Number of Operations
futex,0,6,0.529,23.716,100506
futex,1,2,1.117,25.131,107980
futex,2,1,1.794,24.178,82556
futex,3,1,10.028,31.704,84622
futex,4,3,3.386,29.266,102804
futex,5,2,3.381,27.837,95594
futex,6,7,2.566,21.182,75214
futex,7,5,0.326,19.614,82508
futex,8,1,9.259,38.897,86564
futex,9,1,1.713,23.56,105244
futex,10,1,3.019,24.674,82356
futex,11,1,6.283,29.412,98216
futex,12,5,0.624,22.101,94504
futex,13,1,0.314,19.765,75514
futex,14,4,12.188,39.813,93448
futex,15,1,2.058,23.76,96034
futex,16,5,5.11,25.492,81420
futex,17,4,0.458,22.442,104004
futex,18,1,4.829,25.96,81444
futex,19,1,21.118,45.348,111966
futex,20,3,1.496,23.0,86124
futex,21,0,8.737,33.193,90048
futex,22,0,22.594,44.715,87420
futex,23,4,1.594,23.881,92024
futex,24,1,2.274,23.723,86368
futex,25,1,4.453,30.51,85956
futex,26,1,1.565,24.141,101776
futex,27,1,0.445,22.324,105772
futex,28,0,9.965,36.948,104226
futex,29,1,0.623,23.485,99396
futex,30,1,20.131,44.573,81942
futex,31,0,1.604,24.327,95590
futex,32,3,1.296,20.653,76958
futex,33,1,7.421,35.667,89748
futex,34,1,1.385,24.565,100518
futex,35,6,3.081,30.461,96618
futex,36,1,0.247,18.608,77304
futex,37,1,0.445,21.747,93876
futex,38,1,3.764,25.087,80062
futex,39,7,1.442,22.08,92712
futex,40,7,0.24,21.424,97390
futex,41,4,0.581,17.973,75424
futex,42,1,6.65,27.382,87466
futex,43,6,4.214,26.237,106770
futex,44,1,11.663,33.502,77864
futex,45,3,0.301,21.858,90924
futex,46,7,12.958,38.582,117626
futex,47,1,2.288,28.268,108978
futex,48,2,1.724,21.378,76974
futex,49,0,2.5,22.79,83642
futex,50,4,0.545,21.181,106074
futex,51,2,4.82,27.002,93694
futex,52,2,0.581,21.517,94364
futex,53,6,1.409,23.144,104562
futex,54,4,8.48,26.6,74486
futex,55,0,7.394,27.603,81982
futex,56,1,0.392,20.628,83532
futex,57,2,5.786,28.235,88968
futex,58,1,1.503,22.787,100110
futex,59,7,2.317,28.668,114246
futex,60,6,1.297,23.319,90448
futex,61,5,0.265,24.179,108626
futex,62,4,1.752,27.245,93620
futex,63,0,0.256,22.713,104668
insert,0,1,20.244,2176.306,68928260
