Type of thread,Thread Id,Number of Operations,LHT Time,Lock Opportunity
find,0,31199,3542.384,3472.979
find,0,31658,3542.821,3472.272
find,0,31744,3542.998,3477.754
find,1,30114,3541.98,3465.673
find,1,30530,3542.698,3462.5
find,1,30732,3543.535,3463.925
find,2,47519,5312.279,5275.348
find,2,47017,5311.957,5270.669
find,2,47074,5315.005,5261.019
find,3,47298,5314.319,5269.477
find,3,47586,5314.422,5266.365
find,3,47070,5313.399,5261.829
insert,0,5360890,1652.653,3583.815
insert,1,4789678,1613.903,3577.873
insert,2,7526133,2216.859,5380.762
insert,3,7737025,2389.791,5376.39
insert,4,5250982,1416.415,3580.196
insert,4,5307850,1452.531,3582.885
insert,4,5657167,1313.994,3598.485
insert,4,5207748,1414.779,3587.072
insert,5,5523885,1378.817,3589.337
insert,5,5487902,1386.343,3591.749
insert,5,5570579,1313.119,3590.416
insert,5,5862644,1336.389,3587.734
insert,6,7693701,2232.333,5381.98
insert,6,7916302,2096.601,5371.41
insert,6,7262331,2411.894,5384.358
insert,6,7763561,2184.862,5366.467
insert,7,7805907,2152.294,5372.68
insert,7,7265504,2411.3,5377.042
insert,7,7310134,2201.78,5393.354
insert,7,8017827,2025.399,5378.466
insert,8,4669112,1640.906,3577.233
insert,8,5785700,1283.083,3590.31
insert,8,5369516,1445.92,3588.102
insert,8,4840248,1590.085,3587.127
insert,9,5216373,1702.133,3595.529
insert,9,5045428,1740.266,3597.318
insert,9,5916201,1333.858,3590.345
insert,9,5467254,1443.187,3584.479
