Type of thread,Thread Id,Number of Operations,LHT Time,Lock Opportunity
find,0,291707,10549.683,10679.73
find,0,290110,10542.13,10575.535
find,0,290727,10546.021,10707.486
find,1,289959,10548.608,10540.861
find,1,292574,10534.547,10707.65
find,1,291356,10549.888,10700.532
insert,0,16979946,3214.026,10717.411
insert,1,17127229,3215.959,10730.005
insert,2,18360663,3431.41,10660.074
insert,2,19683935,3602.01,10673.684
insert,2,19584874,3615.524,10665.875
insert,2,18133425,3365.985,10679.681
insert,3,18815360,3049.065,10658.641
insert,3,19055104,3542.322,10673.521
insert,3,19248910,3549.363,10664.762
insert,3,18762864,3461.666,10682.054
