Type of thread,Thread Id,Number of Operations,LHT Time,Lock Opportunity
find,0,62046,5309.906,5309.472
find,0,62101,5310.129,5293.854
find,0,60775,5310.026,5289.067
insert,0,7676316,1981.06,5360.964
insert,1,6418352,2269.074,5335.006
insert,1,9163821,1717.789,5333.854
insert,1,8242348,2162.315,5330.921
insert,1,8581713,1729.62,5346.844
insert,2,7626126,2492.253,5353.163
insert,2,4306117,3535.864,5338.51
insert,2,7334351,2389.203,5334.415
insert,2,7889675,1852.957,5338.847
insert,3,8323944,1666.099,5329.633
insert,3,5944601,2699.322,5331.053
insert,3,5719461,2794.547,5326.211
insert,3,6359337,2719.314,5337.497
insert,4,8033021,1950.223,5358.435
insert,4,7088307,2255.501,5361.555
insert,4,7742502,1991.184,5365.521
insert,4,7542925,1873.063,5356.359
insert,5,4460544,3065.1,5329.926
insert,5,5501344,2597.022,5346.403
insert,5,5156501,2678.826,5329.115
insert,5,7494201,1880.411,5337.974
insert,6,6339057,2836.634,5326.764
insert,6,7235749,2089.451,5330.613
insert,6,6748196,2120.294,5346.432
insert,6,6235050,1434.009,5327.343
insert,7,7467544,2149.01,5333.168
insert,7,8793022,1830.879,5338.359
insert,7,6128349,2498.465,5340.316
insert,7,8064773,1699.432,5351.031
