Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,30411575,0,0.032,4467.827
find,0,30404372,0,0.037,4470.658
find,0,26818757,0,0.048,4283.087
find,0,30408950,0,0.323,4465.832
insert,0,25382272,25382272,0.067,976.715
insert,0,25416192,25416192,0.054,967.728
insert,0,25371344,25371344,0.067,963.041
insert,0,25363326,25363326,0.06,965.395
Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,30411575,0,0.032,4467.827
find,0,30404372,0,0.037,4470.658
find,0,26818757,0,0.048,4283.087
find,0,30408950,0,0.323,4465.832
insert,0,25382272,25382272,0.067,976.715
insert,0,25416192,25416192,0.054,967.728
insert,0,25371344,25371344,0.067,963.041
insert,0,25363326,25363326,0.06,965.395
