Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,11990479,0,0.073,2800.458
find,0,12008175,0,4.522,2805.601
find,0,11977246,0,0.09,2802.51
find,0,11974067,0,0.054,2798.644
find,1,12142253,0,0.067,2775.779
find,1,12150454,0,5.384,2775.924
find,1,12141811,0,0.066,2772.145
find,1,12168960,0,0.088,2776.009
insert,0,12110485,12110485,0.066,618.937
insert,0,12661521,12661521,0.081,509.462
insert,0,12190869,12190869,0.057,605.816
insert,0,12164517,12164517,0.054,605.063
insert,1,12516197,12516197,0.055,473.279
insert,1,12379747,12379747,0.053,541.324
insert,1,12644118,12644118,0.087,492.375
insert,1,12690737,12690737,0.054,491.124
