Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,12859481,0,0.426,4306.662
find,0,9813023,0,0.614,3320.592
find,1,12926591,0,0.058,4286.583
find,1,12928338,0,5.449,4297.193
find,2,12994908,0,2.963,4273.625
insert,0,16782108,16782108,0.049,703.655
insert,1,16892844,16892844,0.069,676.633
insert,1,12560862,12560862,1.604,495.444
insert,2,16732116,16732116,4.991,611.359
insert,2,17049462,17049462,0.056,630.38
insert,2,17038987,17038987,0.057,629.432
new,0,16784395,16784395,0.055,702.59
