Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,1,49265,0.865,3132.725,3124.0
find,1,49382,3.339,3133.837,3125.0
find,1,49191,0.763,3134.209,3126.0
find,2,47788,3.242,3132.886,3129.0
find,2,47309,1.148,3132.954,3125.0
find,2,48021,3.075,3134.899,3120.0
find,3,48646,0.772,3132.226,3132.0
find,3,48545,3.222,3132.756,3120.0
find,3,48699,0.789,3133.589,3125.0
insert,0,13856996,2.982,1579.128,3175.0
insert,0,12936778,0.06,1475.428,3177.0
insert,0,12932728,0.037,1475.578,3170.0
insert,0,12920448,0.325,1477.217,3173.0
insert,1,14230519,5.428,1618.084,3173.0
insert,2,14217377,2.964,1617.788,3177.0
insert,3,14146369,0.035,1608.037,3169.0
