Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,8476927,0,0.069,3438.167
find,1,8595833,0,0.057,3421.029
find,2,8602699,0,0.051,3417.413
find,3,8691723,0,5.055,3400.293
find,3,8714087,0,0.032,3396.023
insert,0,12526876,12526876,0.053,557.893
insert,0,12566022,12566022,0.049,557.981
insert,0,12583974,12583974,0.054,558.004
insert,1,12438009,12438009,0.058,507.35
insert,1,12607971,12607971,0.05,527.753
insert,1,12634620,12634620,0.06,527.983
insert,2,12720891,12720891,8.459,507.969
insert,2,12699055,12699055,5.085,507.494
insert,2,13429796,13429796,0.055,527.6
insert,3,12818358,12818358,0.068,473.353
new,3,8718236,0,0.054,3400.934
