Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time,Find Total Time,Find Worst Case Time
insert_find,0,991752,495876,0.011,126.68,29.331,0.01
insert_find,1,1026230,513115,0.011,104.281,22.962,0.01
insert_find,2,1014376,507188,0.077,112.637,25.087,0.024
insert_find,3,1019432,509716,0.012,110.473,24.824,0.01
insert_find,4,1013286,506643,0.008,114.731,26.338,0.007
insert_find,5,985346,492673,0.015,133.831,30.41,0.012
insert_find,6,988894,494447,0.011,131.23,29.601,0.01
insert_find,7,987120,493560,0.014,132.17,30.553,0.007
insert_find,8,991038,495519,0.013,129.259,29.761,0.011
insert_find,9,990450,495225,0.018,129.601,29.819,0.01
insert_find,10,1060018,530009,0.014,82.982,18.882,0.011
insert_find,11,993660,496830,0.018,125.727,28.973,0.006
insert_find,12,1037470,518735,0.06,97.144,22.34,0.01
insert_find,13,996646,498323,0.127,125.058,28.183,0.01
insert_find,14,985264,492632,0.014,133.742,30.26,0.01
insert_find,15,998792,499396,0.012,123.192,28.089,0.012
malicious,0,318930576,318930576,7.643,22437.391,0.0,0.0
