Type of thread,Thread Id,Number of Operations,Number of Entries,Worst Case Time,Total Time
genuine,0,10183,4792,9.219,320.16
genuine,1,10149,4776,4.701,313.519
genuine,2,10166,4784,10.471,347.352
genuine,3,10336,4864,6.618,319.179
genuine,4,9945,4680,3.679,350.081
genuine,5,9690,4560,5.817,334.891
genuine,6,9860,4640,4.954,335.004
genuine,7,9707,4568,7.384,336.018
genuine,8,9911,4664,5.364,333.883
genuine,9,10523,4952,7.53,349.172
genuine,10,10115,4760,12.25,352.723
genuine,11,9503,4472,5.491,304.456
genuine,12,9877,4648,10.203,350.722
genuine,13,10217,4808,9.945,324.855
genuine,14,9979,4696,5.36,338.869
genuine,15,9911,4664,9.312,329.021
malicious,0,64393,64393,12.605,1727.75
