Type of thread,Thread Id,Number of Operations,Number of Entries,Worst Case Time,Total Time
genuine,0,1955337,651779,0.058,202.084
genuine,1,1934532,644844,0.025,199.036
genuine,2,1928307,642769,0.032,197.963
genuine,3,1910976,636992,0.215,197.096
genuine,4,1890219,630073,1.092,194.74
genuine,5,1873833,624611,0.061,191.209
genuine,6,1855350,618450,0.025,188.521
genuine,7,1843257,614419,0.162,188.215
genuine,8,1825845,608615,0.032,185.43
genuine,9,1812192,604064,0.03,183.533
genuine,10,1793103,597701,0.237,182.53
genuine,11,1781805,593935,0.121,181.143
genuine,12,1763694,587898,0.168,177.577
genuine,13,1752765,584255,0.07,175.413
genuine,14,1730727,576909,0.044,173.904
genuine,15,1717014,572338,0.022,171.498
genuine,16,1702938,567646,0.043,170.694
genuine,17,1688295,562765,0.054,168.641
genuine,18,1676067,558689,0.034,166.402
genuine,19,1658982,552994,0.038,164.704
genuine,20,1650726,550242,0.344,163.049
genuine,21,1632699,544233,0.074,160.577
genuine,22,1614276,538092,0.053,158.293
genuine,23,1594944,531648,0.035,155.83
genuine,24,1581051,527017,0.03,154.607
genuine,25,1571748,523916,0.031,152.324
genuine,26,1559622,519874,0.021,151.04
genuine,27,1541304,513768,0.026,148.818
genuine,28,1525764,508588,0.055,147.378
genuine,29,1507056,502352,0.033,144.638
genuine,30,1490391,496797,0.08,143.14
genuine,31,1475604,491868,0.045,140.093
genuine,32,1464666,488222,0.084,138.944
genuine,33,1448478,482826,0.05,136.369
genuine,34,1436085,478695,0.02,134.872
genuine,35,1421859,473953,0.032,132.901
genuine,36,1407525,469175,0.06,131.345
genuine,37,1392105,464035,0.504,129.976
genuine,38,1376832,458944,0.424,126.762
genuine,39,1362660,454220,0.979,125.426
genuine,40,1348404,449468,0.042,122.149
genuine,41,1335921,445307,0.449,121.173
genuine,42,1323360,441120,0.028,118.06
genuine,43,1312038,437346,0.032,115.334
genuine,44,1296756,432252,0.075,113.712
genuine,45,1285068,428356,0.031,111.278
genuine,46,1270398,423466,0.039,108.957
genuine,47,1257783,419261,0.033,106.786
genuine,48,1245102,415034,0.052,104.689
genuine,49,1231761,410587,0.049,103.221
genuine,50,1221687,407229,0.038,100.776
genuine,51,1209606,403202,0.037,98.622
genuine,52,1194981,398327,0.07,97.028
genuine,53,1182048,394016,0.05,95.104
genuine,54,1164735,388245,0.042,92.587
genuine,55,1151826,383942,0.038,90.917
genuine,56,1139169,379723,0.123,89.67
genuine,57,1124940,374980,0.246,88.756
genuine,58,1110534,370178,0.055,87.145
genuine,59,1099272,366424,0.02,85.33
genuine,60,1083081,361027,0.022,84.214
genuine,61,1065990,355330,0.021,82.489
genuine,62,1047120,349040,0.059,80.996
genuine,63,1031799,343933,0.023,80.042
malicious,0,9151934,9151934,1.142,1914.637
