Type of thread,Thread Id,Number of Operations,Number of Entries,Worst Case Time,Total Time
genuine,0,802950,267650,0.014,14.567
genuine,1,803343,267781,0.013,14.459
genuine,2,802917,267639,0.018,14.688
genuine,3,802428,267476,0.02,14.584
genuine,4,804387,268129,0.018,14.391
genuine,5,802479,267493,0.018,14.647
genuine,6,801951,267317,0.017,14.592
genuine,7,804237,268079,0.016,14.485
genuine,8,802467,267489,0.02,14.674
genuine,9,803016,267672,0.017,14.515
genuine,10,803154,267718,0.014,14.546
genuine,11,803085,267695,0.016,14.593
genuine,12,802575,267525,0.015,14.607
genuine,13,803451,267817,0.016,14.501
genuine,14,803496,267832,0.016,14.583
genuine,15,802524,267508,0.014,14.361
genuine,16,803202,267734,0.018,14.38
genuine,17,802509,267503,0.016,14.695
genuine,18,803091,267697,0.016,14.584
genuine,19,803475,267825,0.015,14.526
genuine,20,805032,268344,0.015,14.566
genuine,21,803004,267668,0.041,14.685
genuine,22,803052,267684,0.015,14.456
genuine,23,802263,267421,0.018,14.583
genuine,24,803100,267700,0.02,14.541
genuine,25,802143,267381,0.016,14.53
genuine,26,803013,267671,0.016,14.544
genuine,27,803205,267735,0.013,14.49
genuine,28,803373,267791,0.017,14.581
genuine,29,802977,267659,0.018,14.6
genuine,30,803538,267846,0.014,14.487
genuine,31,803295,267765,0.017,14.424
genuine,32,802947,267649,0.014,14.591
genuine,33,802401,267467,0.02,14.454
genuine,34,802515,267505,0.016,14.445
genuine,35,802017,267339,0.018,14.483
genuine,36,803799,267933,0.019,14.641
genuine,37,802857,267619,0.081,14.452
genuine,38,802440,267480,0.498,15.07
genuine,39,802752,267584,0.015,14.411
genuine,40,802245,267415,0.058,14.603
genuine,41,802863,267621,0.02,14.531
genuine,42,804228,268076,0.017,14.661
genuine,43,804498,268166,0.015,14.454
genuine,44,802026,267342,0.015,14.576
genuine,45,802776,267592,0.013,14.532
genuine,46,803298,267766,0.145,14.666
genuine,47,802284,267428,0.017,14.491
genuine,48,803880,267960,0.392,15.026
genuine,49,802734,267578,0.015,14.588
genuine,50,802533,267511,0.064,14.6
genuine,51,802059,267353,0.089,14.691
genuine,52,802938,267646,0.015,14.466
genuine,53,801375,267125,0.017,14.663
genuine,54,802950,267650,0.016,14.449
genuine,55,803463,267821,0.024,14.669
genuine,56,803808,267936,0.015,14.49
genuine,57,803970,267990,0.016,14.276
genuine,58,801960,267320,0.016,14.318
genuine,59,801039,267013,0.016,14.638
genuine,60,801537,267179,0.022,14.393
genuine,61,801663,267221,0.016,14.569
genuine,62,803493,267831,0.023,14.48
genuine,63,802503,267501,0.015,14.417
malicious,0,161193857,161193857,0.19,2603.579
