Type of thread,Thread Id,Number of Operations,LHT Time
find,0,95254,10635.725
find,0,98600,10634.266
find,0,98915,10636.448
find,1,112117,10635.353
find,1,109551,10630.385
find,1,109972,10631.007
find,2,118698,10626.781
find,2,119316,10627.138
find,2,107123,10621.366
find,3,116505,10633.223
find,3,116317,10634.374
find,3,116941,10634.518
find,4,89142,10634.637
find,4,92754,10636.005
find,4,91477,10634.923
find,5,85585,10627.212
find,5,88231,10631.718
find,5,88212,10629.9
insert,0,6062900,2758.187
insert,1,6044560,2785.7
insert,2,7073753,2745.757
insert,3,8498829,2698.387
insert,4,7259622,3652.01
insert,5,5809833,3119.281
insert,6,5322579,5400.195
insert,6,4332053,6569.191
insert,6,7243455,3516.39
insert,6,8584045,2971.927
insert,7,11188654,3035.802
insert,7,6009511,5183.53
insert,7,10697754,2918.046
insert,7,5723955,5072.247
insert,8,7740628,5021.505
insert,8,10573239,2879.159
insert,8,10225780,3110.821
insert,8,10565042,3268.288
insert,9,5707377,5794.109
insert,9,4747959,6762.191
insert,9,9105964,3153.721
insert,9,6798821,5129.359
