Type of thread,Thread Id,Number of Operations,LHT Time,Lock Opportunity
find,0,116474,10633.591,10602.917
find,0,113719,10632.739,10645.597
find,0,106867,10637.753,10645.028
find,1,106604,10632.917,10640.342
find,1,111679,10630.728,10599.487
find,1,106597,10632.085,10657.856
find,2,111690,10626.23,10616.855
find,2,107088,10628.539,10605.997
find,2,112550,10626.898,10666.788
find,3,118724,10628.508,10616.25
find,3,113805,10628.983,10629.143
find,3,125716,10628.302,10654.445
find,4,118587,10626.894,10612.892
find,4,117203,10624.076,10648.832
find,4,116101,10628.896,10639.623
find,5,110952,10630.303,10622.397
find,5,111082,10630.629,10633.878
find,5,107236,10631.334,10643.054
find,6,107239,10627.752,10652.402
find,6,107045,10629.221,10602.896
find,6,106412,10628.84,10652.718
find,7,98353,10624.48,10640.626
find,7,95115,10627.335,10617.524
find,7,100688,10627.472,10636.832
find,8,126590,10629.229,10649.501
find,8,119353,10626.873,10674.346
find,8,114908,10627.628,10588.391
find,9,101809,10629.346,10593.633
find,9,103603,10629.3,10690.397
find,9,101923,10629.821,10607.727
insert,0,13409921,2854.89,10787.775
insert,1,12501847,2753.492,10781.931
insert,2,13429927,2844.478,10790.849
insert,3,13318500,2811.931,10779.467
insert,4,12483329,2635.508,10778.52
insert,5,12754649,2813.361,10781.345
insert,6,13140464,2839.783,10772.637
insert,7,11841263,3914.297,10785.138
insert,8,12733323,2439.322,10766.085
insert,9,11802562,3789.904,10786.265
