Type of thread,Thread Id,Number of Operations,LHT Time,Lock Opportunity
find,0,287183,10403.438,10713.384
find,0,287145,10402.825,10535.692
find,0,286961,10394.717,10716.262
find,1,286215,10397.037,10668.057
find,1,285669,10403.249,10589.197
find,1,287404,10401.01,10707.798
insert,0,9724942,2119.648,10713.747
insert,1,9658867,2095.971,10714.008
insert,2,10865952,2351.984,10669.947
insert,2,12414517,2654.796,10671.495
insert,2,10762580,2321.221,10666.695
insert,2,12532842,2690.308,10671.442
insert,3,12305379,2653.689,10671.898
insert,3,12542533,2480.877,10670.915
insert,3,12295704,2661.997,10666.638
insert,3,12255051,2638.418,10669.896
