Type of thread,Thread Id,Number of Operations,LHT Time,Lock Opportunity
find,0,174895,10603.741,10738.092
find,0,172723,10593.446,10404.841
find,0,176697,10566.304,10764.339
find,1,143709,10624.011,10572.497
find,1,146193,10607.322,10772.472
find,1,144068,10623.465,10564.968
find,2,134854,10622.309,10707.35
find,2,144339,10626.213,10543.932
find,2,147684,10615.537,10640.938
find,3,118438,10626.962,10614.522
find,3,118705,10628.131,10692.528
find,3,118338,10628.6,10597.387
find,4,116383,10626.771,10659.233
find,4,115975,10625.411,10601.471
find,4,116587,10626.708,10659.533
insert,0,12045291,2421.457,10772.11
insert,1,9835308,3468.493,10769.541
insert,2,8983643,3041.537,10788.009
insert,3,9049859,3331.011,10775.591
insert,4,8775725,3713.372,10759.153
insert,5,13524482,2253.271,10676.5
insert,5,9703936,4506.777,10664.956
insert,5,10655756,4750.686,10665.262
insert,5,12999926,3551.629,10673.908
insert,6,11582605,3485.476,10673.519
insert,6,8769080,4284.065,10675.059
insert,6,9503893,4665.789,10662.893
insert,6,5895092,6817.785,10668.918
insert,7,13032420,3644.732,10680.375
insert,7,12577973,3623.384,10669.896
insert,7,13096348,3330.765,10661.738
insert,7,6008747,6833.502,10668.123
