Type of thread,Thread Id,Number of Operations,LHT Time
find,0,133819,10621.017
find,0,130596,10628.007
find,0,135384,10624.69
find,1,121170,10625.734
find,1,129902,10620.35
find,1,137494,10621.003
find,2,131585,10620.387
find,2,130257,10613.851
find,2,124455,10623.223
find,3,140276,10627.04
find,3,141300,10629.057
find,3,141061,10628.201
find,4,139747,10626.121
find,4,141126,10628.055
find,4,140624,10624.202
find,5,121674,10624.203
find,5,129717,10611.507
find,5,133508,10626.19
find,6,128213,10624.748
find,6,128166,10623.368
find,6,130466,10620.153
find,7,124117,10620.727
find,7,130047,10616.53
find,7,128709,10621.528
insert,0,15387196,3090.082
insert,1,13619844,3109.994
insert,2,13047531,3016.252
insert,3,12660527,2757.96
insert,4,12701178,2783.416
insert,5,13370995,2977.117
insert,6,13308183,3081.176
insert,7,13232169,3049.498
