Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time
find,0,170517,1.906,10406.118
find,0,126354,2.841,10532.963
find,0,123143,2.087,10546.167
find,1,125222,2.306,10506.842
find,1,123492,4.114,10531.834
find,1,158032,7.266,10473.727
find,2,122233,3.497,10530.164
find,2,123315,2.646,10576.103
find,2,154006,5.978,10469.468
find,3,103709,3.572,10548.675
find,3,101164,4.072,10564.765
find,3,133507,2.451,10494.194
find,4,116681,4.024,10577.846
find,4,115930,2.087,10610.385
find,4,120451,4.041,10573.425
find,5,125933,5.351,10516.933
find,5,102035,8.398,10602.8
find,5,99409,4.98,10622.658
find,6,120340,4.611,10533.178
find,6,99400,4.538,10594.942
find,6,96984,5.592,10632.104
find,7,104318,5.058,10607.483
find,7,97614,9.029,10585.93
find,7,113053,5.495,10616.127
find,8,108760,2.731,10546.734
find,8,122235,3.992,10574.151
find,8,111068,8.35,10569.871
insert,0,5081741,4.194,1503.92
insert,1,5325925,3.81,1424.977
insert,2,5405130,3.449,1333.942
insert,3,7707903,8.238,1674.468
insert,4,7010428,3.814,2128.374
insert,5,4789245,4.265,2238.503
insert,6,4606555,3.873,2322.407
insert,7,5129636,4.27,2322.833
insert,8,6514910,2.627,1519.296
insert,9,10180446,3.82,2525.893
insert,9,10683540,3.577,2887.347
insert,9,10330872,8.239,2663.943
insert,9,9616516,4.241,2703.535
