Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time
find,0,276849,0.574,9950.666
find,0,275145,1.309,9952.089
find,0,275135,1.848,9945.352
insert,0,4514328,4.186,1001.44
insert,1,6466621,4.595,1410.34
insert,1,6389945,4.453,2672.354
insert,1,7063499,1.057,1523.776
insert,1,6912679,1.786,1491.963
insert,2,4860983,4.407,2580.102
insert,2,6312943,4.59,2276.53
insert,2,5601621,1.834,2207.735
insert,2,5994008,0.062,1152.517
insert,3,5951417,6.305,2308.301
insert,3,5689110,4.234,2781.05
insert,3,5959026,2.7,2274.424
insert,3,5712509,4.592,2837.139
