Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,24918153,0.0,0.0,3147.0
find,0,24917855,0.0,0.0,3147.0
find,0,24922766,0.0,0.0,3147.0
find,0,24941952,0.0,0.0,3155.0
find,1,54416,1.136,3217.91,3147.0
find,1,50263,0.653,3218.631,3145.0
find,1,51440,0.87,3220.019,3145.0
find,2,53593,3.59,3222.15,3143.0
find,2,58278,1.484,3215.72,3144.0
find,2,49033,1.861,3225.284,3146.0
find,3,50594,1.035,3218.906,3143.0
find,3,50107,2.713,3224.142,3144.0
find,3,50450,1.67,3219.328,3145.0
insert,1,10224666,1.536,1207.985,3160.0
insert,2,10382707,0.044,1222.652,3149.0
insert,3,10362525,2.273,1224.351,3148.0
