Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time
find,0,114019,1.735,10465.63
find,0,112018,2.073,10401.231
find,0,113593,4.617,10473.9
find,1,193300,4.634,10391.164
find,1,191620,2.82,10376.651
find,1,189291,1.458,10410.199
find,2,173539,4.847,10465.262
find,2,181872,2.817,10427.097
find,2,178574,4.99,10414.974
find,3,114984,3.992,10574.797
find,3,114403,2.496,10569.462
find,3,114028,3.497,10562.146
find,4,111532,4.493,10599.064
find,4,113167,2.791,10562.186
find,4,113335,1.888,10573.315
find,5,120879,2.544,10507.646
find,5,120796,3.876,10504.028
find,5,118781,3.008,10557.589
insert,0,4418988,4.885,1698.699
insert,1,6919541,4.86,1443.573
insert,2,6884692,4.824,1484.012
insert,3,6324639,4.711,1935.098
insert,4,6287521,4.859,1901.891
insert,5,5854954,4.41,1936.429
insert,6,10124078,4.586,1564.148
insert,6,9803953,4.908,1673.0
insert,6,7817802,3.309,3723.225
insert,6,10193819,4.831,1671.012
insert,7,9088792,4.976,2245.102
insert,7,9299996,4.647,2268.293
insert,7,8003208,4.825,3882.84
insert,7,8939748,4.791,2187.486
