Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,7970396,0.213,45167.504,
find,0,7858020,0.24,45064.223,
find,1,3814029,0.191,24294.119,
insert,0,113322,0.104,53.79,
insert,0,119782,0.021,55.992,
insert,1,1237568,0.043,247.293,
insert,1,1231542,0.136,253.367,
insert,1,1233296,0.026,235.44,
Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,7970396,0.213,45167.504,
find,0,7858020,0.24,45064.223,
find,1,3814029,0.191,24294.119,
insert,0,113322,0.104,53.79,
insert,0,119782,0.021,55.992,
insert,1,1237568,0.043,247.293,
insert,1,1231542,0.136,253.367,
insert,1,1233296,0.026,235.44,
