Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,5321279,0.162,48179.188,
find,0,5321397,0.092,48205.297,
find,0,5308286,0.125,48206.25,
find,1,5398416,0.129,48302.105,
find,1,5413066,0.106,48312.434,
find,1,5413985,0.119,48312.945,
find,2,4902557,0.22,47821.703,
find,2,4947379,0.214,47706.57,
find,2,4976372,0.125,47994.465,
find,3,5123296,0.122,48078.68,
find,3,5118821,0.076,48051.902,
find,3,5121802,0.071,48042.348,
insert,0,20246,0.02,14.334,
insert,1,18835,0.024,12.889,
insert,2,26065,0.019,21.82,
insert,3,22823,0.024,15.677,
Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,5321279,0.162,48179.188,
find,0,5321397,0.092,48205.297,
find,0,5308286,0.125,48206.25,
find,1,5398416,0.129,48302.105,
find,1,5413066,0.106,48312.434,
find,1,5413985,0.119,48312.945,
find,2,4902557,0.22,47821.703,
find,2,4947379,0.214,47706.57,
find,2,4976372,0.125,47994.465,
find,3,5123296,0.122,48078.68,
find,3,5118821,0.076,48051.902,
find,3,5121802,0.071,48042.348,
insert,0,20246,0.02,14.334,
insert,1,18835,0.024,12.889,
insert,2,26065,0.019,21.82,
insert,3,22823,0.024,15.677,
Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,0,5321279,0.162,48179.188,
find,0,5321397,0.092,48205.297,
find,0,5308286,0.125,48206.25,
find,1,5398416,0.129,48302.105,
find,1,5413066,0.106,48312.434,
find,1,5413985,0.119,48312.945,
find,2,4902557,0.22,47821.703,
find,2,4947379,0.214,47706.57,
find,2,4976372,0.125,47994.465,
find,3,5123296,0.122,48078.68,
find,3,5118821,0.076,48051.902,
find,3,5121802,0.071,48042.348,
insert,0,20246,0.02,14.334,
insert,1,18835,0.024,12.889,
insert,2,26065,0.019,21.82,
insert,3,22823,0.024,15.677,
