Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,5614223,0,0.035,1349.689
find,0,468049,0,0.012,211.399
find,0,45874354,0,0.022,8251.591
find,0,306103,0,0.012,126.62
find,1,12425852,0,0.022,2524.213
find,1,3014017,0,0.025,723.931
find,1,12709691,0,0.022,2560.361
find,1,49372270,0,0.026,8826.22
find,1,5479547,0,0.017,1164.116
find,1,337668,0,0.012,123.696
insert,0,295420,295420,0.01,92.594
insert,0,282201,282201,0.01,88.535
insert,0,307403,307403,0.011,95.332
insert,0,312420,312420,0.011,96.671
insert,1,1276224,1276224,0.016,267.007
