Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,19556436,0,31.93,6674.78
find,0,17482151,0,21.295,5636.857
find,1,29626690,0,0.016,5284.302
find,1,14338759,0,31.932,4403.603
find,2,12207985,0,0.027,2040.411
insert,0,938692,938692,0.061,158.098
insert,0,144061,144061,0.013,49.271
insert,1,77840,77840,21.289,41.589
insert,1,78227,78227,21.291,41.491
insert,2,143159,143159,0.011,33.765
insert,2,70475,70475,21.289,53.942
new,2,151600,151600,0.005,35.369
