Type of thread,Thread Id,Number of Operations,Worst Case Time,LHT Time,Lock Opportunity
find,1,19403113,0.005,129.816,
find,1,19590092,0.005,131.874,
find,1,19133014,0.008,135.148,
find,1,17101734,0.008,116.151,
find,2,740446,0.011,5.542,
find,2,4203810,0.009,29.23,
find,2,15727235,0.046,107.038,
find,2,4528427,0.006,31.517,
find,3,4730712,0.005,33.814,
find,3,4990589,0.005,35.202,
find,3,5066463,0.005,35.943,
find,3,3952371,0.016,28.257,
insert,0,8933989,0.178,432.098,
insert,0,5012265,0.104,261.035,
insert,0,8673116,0.635,420.722,
insert,0,8403867,0.036,406.695,
