Type of thread,Thread Id,Number of Operations,Number of Entries,Total Time,Worst Case Time
find,0,28642000,0,31.931,13432.766
find,1,27821764,0,31.93,13106.239
find,3,2993562,0,0.024,822.67
find,3,4714660,0,0.036,1243.704
insert,0,337282,337282,0.033,112.574
insert,0,216777,216777,0.011,82.553
insert,0,217843,217843,0.011,82.059
insert,1,233598,233598,0.016,76.131
insert,1,206433,206433,0.022,72.423
insert,1,111727,111727,21.289,79.215
insert,2,106135,106135,21.289,54.222
insert,2,706543,706543,0.016,151.693
insert,2,204381,204381,0.005,65.86
insert,3,489909,489909,0.017,102.059
insert,3,534608,534608,0.017,112.89
new,2,7652563,0,0.026,1953.629
